tsne-1,tsne-2,tsne-3,label,image_name
-7.2385197,-18.714334,9.52952,2,image_4096.png
5.3425555,17.42771,11.680632,4,image_4097.png
9.164011,20.827408,-9.264829,9,image_4098.png
1.0831829,16.541285,12.695088,4,image_4099.png
-5.160325,-0.24180031,-2.128173,8,image_4100.png
6.5673857,-15.002253,-6.623449,3,image_4101.png
12.254027,17.675241,1.9354904,4,image_4102.png
-2.730573,-10.193071,1.2324471,8,image_4103.png
6.598312,4.1113734,4.651171,5,image_4104.png
-23.124153,-1.601678,7.9350414,1,image_4105.png
16.58102,-12.949467,-1.9636848,0,image_4106.png
7.0999055,15.315903,11.537861,4,image_4107.png
13.686871,-16.320807,2.241358,0,image_4108.png
-23.153492,-4.155531,9.798652,1,image_4109.png
15.194179,5.995639,3.8576663,6,image_4110.png
-8.001155,-5.7209964,14.581657,2,image_4111.png
22.532104,1.8818501,6.8141165,6,image_4112.png
8.537043,2.8294325,9.615527,5,image_4113.png
13.533875,20.918867,-4.0160694,4,image_4114.png
17.837545,-15.75701,12.744404,0,image_4115.png
-16.642073,8.717825,2.437456,7,image_4116.png
-12.327783,13.755287,8.247426,9,image_4117.png
0.786971,14.472291,-6.8808136,9,image_4118.png
8.31879,-1.1529263,5.3140473,5,image_4119.png
-21.94465,-2.972231,-5.413363,1,image_4120.png
4.13378,-15.546582,-10.246487,3,image_4121.png
-16.913239,16.82739,2.2169073,9,image_4122.png
16.284534,-11.437764,4.80438,0,image_4123.png
5.5538816,18.664774,-9.101409,9,image_4124.png
6.94024,15.590283,12.099195,4,image_4125.png
9.671102,1.5147191,-6.0033545,5,image_4126.png
-7.5567217,21.236076,-0.28321528,9,image_4127.png
-14.179131,-6.3154416,-19.955355,1,image_4128.png
-25.612843,-3.2436473,7.517744,1,image_4129.png
-20.029673,12.747763,-3.4516172,7,image_4130.png
-18.620869,12.60391,1.1890992,7,image_4131.png
8.996868,21.466795,-1.1804111,4,image_4132.png
7.1627593,15.29705,11.83758,4,image_4133.png
9.587141,-7.0339375,-11.806357,5,image_4134.png
6.0192738,18.01498,10.892514,4,image_4135.png
1.9098108,-15.471128,-16.457026,3,image_4136.png
-23.311338,-1.4299774,3.7885022,1,image_4137.png
1.3986859,-10.048002,-18.635141,3,image_4138.png
-9.565259,-6.5394855,2.7891412,8,image_4139.png
-14.418183,-4.951972,-9.468738,1,image_4140.png
-18.829535,16.804775,1.4388366,7,image_4141.png
9.164742,-9.683493,5.0369706,0,image_4142.png
19.14877,5.5664325,8.604326,6,image_4143.png
-12.029545,-19.947956,10.790341,2,image_4144.png
11.276931,-13.355962,10.452799,0,image_4145.png
3.470221,11.451641,-0.90545374,4,image_4146.png
-3.2550778,-6.565471,1.8330104,8,image_4147.png
2.4939961,16.013319,-2.2760267,8,image_4148.png
-24.318121,-1.4650662,5.985416,1,image_4149.png
17.52848,-1.7393562,-0.47532952,6,image_4150.png
-9.475745,-7.5625477,3.3221517,8,image_4151.png
-17.914513,-1.5434855,0.39090627,1,image_4152.png
-7.7945604,-5.6099796,14.5083475,2,image_4153.png
-1.0101376,-6.9384356,-14.688482,3,image_4154.png
24.483665,1.8617457,2.0896225,6,image_4155.png
6.706231,-7.085982,-15.872324,3,image_4156.png
-3.748746,-13.178284,15.058732,2,image_4157.png
1.3127493,15.206908,-9.773482,9,image_4158.png
15.357712,-18.012203,6.1110997,0,image_4159.png
-11.679966,-4.9729958,-13.902583,1,image_4160.png
-10.864372,18.441736,2.0479743,9,image_4161.png
-19.3131,-6.060034,-13.711376,1,image_4162.png
-22.88621,-3.691366,12.089001,1,image_4163.png
-9.268414,14.204688,-6.63,7,image_4164.png
-8.052107,-5.6850243,14.582909,2,image_4165.png
-21.229977,-5.9743757,-8.517782,1,image_4166.png
1.7198043,-1.0132158,10.328166,5,image_4167.png
9.71988,0.3985658,-5.4225693,5,image_4168.png
0.1849544,15.227065,9.262233,4,image_4169.png
19.075508,15.436447,-10.67396,6,image_4170.png
9.028276,0.30734816,4.7267175,5,image_4171.png
6.4356933,12.819334,-0.34253335,4,image_4172.png
-19.919481,20.466404,-7.826438,7,image_4173.png
11.763707,19.418207,-2.4566538,4,image_4174.png
-16.69533,17.058737,-1.6254967,7,image_4175.png
1.9525943,-4.8359733,-7.0325384,8,image_4176.png
8.200237,-1.0067924,5.2479396,5,image_4177.png
-4.1726246,11.045637,7.4583526,4,image_4178.png
5.6439114,-14.922369,-4.6654677,3,image_4179.png
1.0965674,16.619606,-1.0719006,4,image_4180.png
16.684835,-15.3302555,9.532109,0,image_4181.png
-22.335606,-8.866284,-10.42932,2,image_4182.png
-8.171084,-10.00931,14.281214,2,image_4183.png
6.2012167,3.7769644,-6.604087,5,image_4184.png
-8.241558,-6.0713477,14.7498,2,image_4185.png
-20.675747,-2.2547104,-10.492414,1,image_4186.png
-4.920742,-12.946291,16.102465,2,image_4187.png
25.691492,7.8330183,-9.862842,6,image_4188.png
-16.465586,15.122244,-2.0572703,7,image_4189.png
-20.508142,-3.1919198,1.964418,1,image_4190.png
0.40315533,-18.181961,-10.459807,3,image_4191.png
1.7530369,-0.5378978,7.280707,5,image_4192.png
-23.971617,-2.1598341,3.6133955,1,image_4193.png
7.297227,-0.9906068,8.374999,5,image_4194.png
4.838128,20.584215,8.906047,4,image_4195.png
3.611676,-8.797993,-14.839375,3,image_4196.png
4.2568946,16.395031,12.165143,4,image_4197.png
19.758183,1.4615325,3.1142817,6,image_4198.png
3.7873795,-18.111212,-7.8129864,3,image_4199.png
-9.934686,11.975342,-4.6356726,7,image_4200.png
15.179909,-9.560962,5.966403,0,image_4201.png
